feat,lrp
TFs_and_others_ZNF557,-7.701890693472234e-05
TFs_and_others_USF2,-8.993350751969362e-05
TFs_and_others_RFX1,-8.234858218036044e-05
TFs_and_others_HOXD13,-8.280144333229864e-05
Histone_macroH2A2,-7.965935774480357e-05
TFs_and_others_MED21,-7.698276219934462e-05
TFs_and_others_INTS6,-7.012910954592479e-05
Histone_H4K20me2,-6.454674708355603e-05
TFs_and_others_AFF1,-8.37557120049865e-05
TFs_and_others_ETS2,-7.236664886240642e-05
TFs_and_others_CHD2,-6.22589109994806e-05
TFs_and_others_ZBTB44,-6.581731944554561e-05
TFs_and_others_EEA1,-6.875972568841043e-05
TFs_and_others_ZNF292,-9.037183351999149e-05
TFs_and_others_MKL1,-8.44657202674519e-05
TFs_and_others_TWIST1,-0.00014955135449623105
TFs_and_others_THAP8,-8.761442389004865e-05
TFs_and_others_ZNF398,-9.698503771239685e-05
TFs_and_others_SPIN1,-7.58607041358465e-05
TFs_and_others_FOXC1,-0.00010102988972190945
TFs_and_others_NUFIP1,-7.5990992730078e-05
TFs_and_others_TSHZ2,-8.34653663545073e-05
TFs_and_others_GUCY1B3,-6.840755506254664e-05
TFs_and_others_BrdU,-8.179699997529163e-05
TFs_and_others_JMJD1C,-6.803701392421768e-05
TFs_and_others_MGMT,-7.956079016889495e-05
Histone_H3S10ph,-6.127367526796563e-05
TFs_and_others_ZNF280B,-8.474971275892484e-05
TFs_and_others_CDK9,-6.339981508276606e-05
TFs_and_others_ZNF391,-7.275445245532794e-05
TFs_and_others_ZNF407,-6.027685457095999e-05
TFs_and_others_RAD21L1,-7.894173974360387e-05
TFs_and_others_DPF1,-6.423559520528909e-05
TFs_and_others_SKI,-8.001412146025922e-05
TFs_and_others_MCM2,-8.836997188207413e-05
TFs_and_others_GRHL1,-8.146321320493116e-05
TFs_and_others_ZFP64,-8.594516731309662e-05
TFs_and_others_ZNF143,-7.88983894671526e-05
TFs_and_others_MEIS2,-0.00011146571494611706
TFs_and_others_USP7,-7.470639844662205e-05
TFs_and_others_HOXB13,-0.0001367185522158846
TFs_and_others_N6AMT1,-7.322937263915398e-05
TFs_and_others_MLLT6,-8.652036317159035e-05
TFs_and_others_NUSAP1,-5.869572292945481e-05
TFs_and_others_ONECUT2,-0.00010233851920087009
Histone_H2A,-7.208335716177168e-05
TFs_and_others_TCFL5,-7.47838401334008e-05
TFs_and_others_ERF,-6.26440044615584e-05
TFs_and_others_AAV Rep68,-7.702317893467174e-05
TFs_and_others_ZNF432,-6.939373763132962e-05
TFs_and_others_ZMYND8,-8.396329066858226e-05
TFs_and_others_GATA6,-8.245914701669075e-05
TFs_and_others_SRPK2,-7.182195677678416e-05
TFs_and_others_ZNF592,-6.575203202272607e-05
Histone_H3T45ph,-7.249044145234819e-05
TFs_and_others_RPA2,-6.003546211419031e-05
TFs_and_others_ZBTB25,-6.711583387759127e-05
TFs_and_others_ZNF607,-5.41049357554383e-05
TFs_and_others_PHF5A,-7.795345578161922e-05
TFs_and_others_WT1,-6.565620678544164e-05
TFs_and_others_MEF2C,-8.732704261020849e-05
TFs_and_others_ETS1,-7.064459616025497e-05
TFs_and_others_CPSF7,-8.55351531546014e-05
TFs_and_others_NR2E1,-6.795915398040939e-05
